Champion,Emoji 1,Emoji 2,Emoji 3
Aatrox,⚔️,🩸,😈
Ahri,🦊,💫,💋
Akali,🥷,💨,🌙
Akshan,🪄,🏹,🕊️
Alistar,🐮,💥,🛡️
Amumu,😢,🧟,🎀
Anivia,❄️,🦅,💠
Annie,🔥,🧸,👧
Aphelios,🌑,🔫,🌓
Ashe,❄️,🏹,👑
Aurelion Sol,🐉,🌌,💫
Azir,🏜️,👑,🪶
Bard,🎵,🔔,🌌
Bel'Veth,🐙,👁️,🪞
Blitzcrank,🤖,✊,⚡
Brand,🔥,💥,💀
Braum,🧔,🛡️,❄️
Briar,🩸,🦇,😵
Caitlyn,👒,🔫,🚨
Camille,🦵,🔪,🏙️
Cassiopeia,🐍,👑,💚
Cho'Gath,🦑,👄,🌋
Corki,🛩️,💣,🧓
Darius,🪓,🩸,🏛️
Diana,🌙,🔪,🛡️
Dr. Mundo,💊,💪,🧠
Draven,🪓,🪞,💅
Ekko,⏳,🦾,🕶️
Elise,🕷️,👩,🔮
Evelynn,😈,💋,🖤
Ezreal,🧭,🏹,⚡
Fiddlesticks,🌾,🪓,😱
Fiora,⚔️,🎭,💃
Fizz,🐟,🔱,🐬
Galio,🗿,🕊️,💥
Gangplank,🏴‍☠️,🍊,💣
Garen,🛡️,⚔️,💙
Gnar,🦖,🐾,💢
Gragas,🍺,🍖,💥
Graves,💣,🔫,🧔
Gwen,✂️,🧵,👗
Hecarim,🐎,💀,💨
Heimerdinger,🧠,🔧,🔫
Hwei,🎨,🖌️,💭
Illaoi,🦑,🛕,💪
Irelia,🗡️,💃,🌸
Ivern,🌳,🍃,😊
Janna,🌪️,💎,🕊️
Jarvan IV,🏇,🛡️,⚔️
Jax,🪜,💥,🛡️
Jayce,🔨,⚡,🧑‍🔬
Jhin,🎭,🔫,🎯
Jinx,🔫,🎇,😜
K'Sante,🛡️,🪨,💪
Kai'Sa,👽,🧬,🔫
Kalista,👻,🔱,🩸
Karma,🌀,🙏,🧘
Karthus,💀,📜,🎶
Kassadin,🛸,🌀,🔮
Katarina,🔪,💃,🔥
Kayle,👼,🗡️,🔥
Kayn,🌓,🗡️,👹
Kennen,⚡,🐭,🥷
Kha'Zix,🦗,🦴,🔪
Kindred,🐺,🐑,💀
Kled,🧓,🪓,🐎
Kog'Maw,👁️,🧪,🦷
LeBlanc,🎭,🃏,🌀
Lee Sin,🥋,👊,🔥
Leona,🌞,🛡️,🗡️
Lillia,🦌,🌸,💤
Lissandra,❄️,👁️,🧊
Lucian,🔫,⚔️,🔥
Lulu,🧚,✨,🍄
Lux,💫,🌟,😊
Malphite,🪨,💥,🛡️
Malzahar,👁️,🕷️,🔮
Maokai,🌳,🌿,💢
Master Yi,🗡️,👁️,💨
Milio,🔥,🧤,🌸
Miss Fortune,💋,🔫,🏴‍☠️
Mordekaiser,🪓,💀,🛡️
Morgana,👿,🕊️,🌑
Naafiri,🐺,🩸,👁️
Nami,🐠,💧,🧜‍♀️
Nasus,🐕,💪,🏛️
Nautilus,⚓,💥,🛡️
Neeko,🦎,🌈,🎭
Nidalee,🐾,🔱,🐆
Nilah,💦,⚔️,🧘
Nocturne,🌑,💀,🌫️
Nunu & Willump,☃️,🧒,❄️
Olaf,🪓,💀,💢
Orianna,🤖,🔮,🩷
Ornn,🐏,🔥,🔨
Pantheon,🛡️,⚔️,🏛️
Poppy,🔨,🛡️,💙
Pyke,🔪,💀,🌊
Qiyana,🗡️,🌿,👑
Quinn,🦅,🏹,🛡️
Rakan,🦚,💃,❤️
Rammus,🐢,🛡️,🌀
Rek'Sai,🕳️,🪱,🦴
Rell,🛡️,🐎,⚔️
Renata Glasc,🧪,💼,😈
Renekton,🐊,🪓,💢
Rengar,🐱,🔪,🌿
Riven,🗡️,💥,🧘
Rumble,🛠️,🔥,🤖
Ryze,📜,🔮,🧠
Samira,🔫,🗡️,😎
Sejuani,🐗,❄️,🛡️
Senna,🔫,🕊️,💀
Seraphine,🎤,💖,🎶
Sett,👊,🐯,💪
Shaco,🤡,🔪,🎭
Shen,🥷,🛡️,🌌
Shyvana,🐉,🔥,💥
Singed,🧪,💨,🧠
Sion,💀,🛠️,💢
Sivir,🔮,⚔️,🏜️
Skarner,🦂,💎,🌍
